,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1174500,6/8/2017 15:00,6/8/2017 16:09,4148,Clark St & Montrose Ave,Wells St & Elm St,Customer,,
376940,3/21/2017 18:08,3/21/2017 18:15,418,Ashland Ave & Augusta Blvd,Artesian Ave & Hubbard St,Subscriber,Male,1982
1196013,6/9/2017 16:47,6/9/2017 16:59,701,Columbus Dr & Randolph St,Franklin St & Quincy St,Subscriber,Male,1970
945951,5/24/2017 21:43,5/24/2017 21:50,377,Glenwood Ave & Morse Ave,Clark St & Jarvis Ave,Subscriber,Male,1983
1356502,6/19/2017 16:20,6/19/2017 16:34,837,Clinton St & Lake St,Michigan Ave & Congress Pkwy,Subscriber,Female,1995
1419786,6/23/2017 11:01,6/23/2017 11:07,370,Wells St & Evergreen Ave,Lake Shore Dr & North Blvd,Subscriber,Male,1991
659661,4/25/2017 13:02,4/25/2017 13:06,218,Clinton St & Jackson Blvd,LaSalle St & Jackson Blvd,Subscriber,Male,1974
1030171,5/30/2017 22:32,5/30/2017 22:40,476,Clinton St & Washington Blvd,Carpenter St & Huron St,Subscriber,Male,1988
900647,5/20/2017 11:47,5/20/2017 11:54,422,Morgan Ave & 14th Pl,Halsted St & Polk St,Subscriber,Male,1994
833806,5/14/2017 21:26,5/14/2017 21:48,1312,Streeter Dr & Grand Ave,Theater on the Lake,Subscriber,Male,1991
734137,5/5/2017 7:44,5/5/2017 7:55,657,Financial Pl & Congress Pkwy,Aberdeen St & Jackson Blvd,Subscriber,Male,1989
397184,3/24/2017 16:38,3/24/2017 16:42,251,Southport Ave & Roscoe St,Southport Ave & Irving Park Rd,Subscriber,Male,1991
769876,5/9/2017 14:47,5/9/2017 15:07,1196,Ravenswood Ave & Lawrence Ave,Glenwood Ave & Morse Ave,Subscriber,Male,1976
678288,4/26/2017 18:08,4/26/2017 18:42,2009,Wilton Ave & Diversey Pkwy,Clarendon Ave & Junior Ter,Subscriber,Male,1993
1063807,6/2/2017 7:18,6/2/2017 7:21,183,Canal St & Adams St,Clinton St & Madison St,Subscriber,Male,1990
813463,5/13/2017 13:33,5/13/2017 13:52,1158,Shedd Aquarium,Millennium Park,Customer,,
782272,5/10/2017 18:17,5/10/2017 18:22,275,Shore Dr & 55th St,Lake Park Ave & 53rd St,Subscriber,Male,1986
960180,5/26/2017 7:49,5/26/2017 7:59,584,Ada St & Washington Blvd,Franklin St & Monroe St,Subscriber,Male,1978
1029719,5/30/2017 21:09,5/30/2017 21:23,855,Damen Ave & Division St,Ogden Ave & Race Ave,Subscriber,Female,1987
1221067,6/10/2017 22:28,6/10/2017 22:47,1127,Wilton Ave & Diversey Pkwy,Ashland Ave & Division St,Subscriber,Male,1987
1242306,6/12/2017 8:40,6/12/2017 8:57,998,Ritchie Ct & Banks St,Daley Center Plaza,Subscriber,Male,1989
1381651,6/21/2017 6:56,6/21/2017 7:24,1694,Damen Ave & Cortland St,Canal St & Madison St,Subscriber,Male,1984
405265,3/27/2017 6:35,3/27/2017 6:42,449,Southport Ave & Waveland Ave,Sheffield Ave & Wellington Ave,Subscriber,Male,1986
326951,3/9/2017 17:02,3/9/2017 17:06,244,Clinton St & Lake St,Canal St & Adams St,Subscriber,Female,1956
928107,5/22/2017 19:08,5/22/2017 19:16,470,Clark St & Lunt Ave,Greenview Ave & Jarvis Ave,Subscriber,Female,1971
308735,3/7/2017 6:59,3/7/2017 7:12,803,Larrabee St & North Ave,Marshfield Ave & Cortland St,Subscriber,Male,1988
741245,5/5/2017 20:19,5/5/2017 20:36,1006,Western Ave & Division St,Clybourn Ave & Division St,Subscriber,Male,1987
1194375,6/9/2017 15:47,6/9/2017 15:59,731,Clinton St & Jackson Blvd,Dearborn Pkwy & Delaware Pl,Subscriber,Female,1988
665093,4/25/2017 18:03,4/25/2017 18:10,415,Orleans St & Ohio St,Clinton St & Madison St,Subscriber,Male,1982
1479710,6/26/2017 16:25,6/26/2017 16:34,539,MLK Jr Dr & 29th St,State St & 33rd St,Subscriber,Female,1993
301283,3/6/2017 6:07,3/6/2017 6:12,274,Lincoln Ave & Belmont Ave,Racine Ave & Belmont Ave,Subscriber,Female,1993
970191,5/27/2017 11:05,5/27/2017 11:33,1681,Michigan Ave & Lake St,Shedd Aquarium,Customer,,
1012291,5/29/2017 18:06,5/29/2017 18:20,838,Theater on the Lake,Wells St & Concord Ln,Customer,,
329576,3/10/2017 7:25,3/10/2017 7:29,218,Wilton Ave & Diversey Pkwy,Lincoln Ave & Fullerton Ave,Subscriber,Female,1994
60113,1/20/2017 16:26,1/20/2017 16:51,1460,Lincoln Ave & Fullerton Ave,State St & Kinzie St,Subscriber,Male,1960
1324758,6/17/2017 14:45,6/17/2017 15:08,1393,Sheffield Ave & Webster Ave,Lake Shore Dr & North Blvd,Customer,,
989036,5/28/2017 12:36,5/28/2017 12:50,861,Daley Center Plaza,Franklin St & Monroe St,Customer,,
943790,5/24/2017 17:41,5/24/2017 17:51,588,Franklin St & Jackson Blvd,Michigan Ave & Lake St,Subscriber,Male,1978
1187764,6/9/2017 9:03,6/9/2017 9:04,94,Hermitage Ave & Polk St,Wolcott Ave & Polk St,Subscriber,Male,1998
76521,1/23/2017 17:01,1/23/2017 17:15,864,Financial Pl & Congress Pkwy,Canal St & Monroe St (*),Subscriber,Male,1963
87174,1/25/2017 14:49,1/25/2017 15:21,1893,Damen Ave & Grand Ave,Pine Grove Ave & Waveland Ave,Subscriber,Female,1982
1067273,6/2/2017 10:51,6/2/2017 10:57,333,Marshfield Ave & Cortland St,Paulina Ave & North Ave,Subscriber,Female,1987
994612,5/28/2017 17:29,5/28/2017 17:50,1279,Lake Shore Dr & Monroe St,Columbus Dr & Randolph St,Subscriber,Male,1959
157784,2/11/2017 15:11,2/11/2017 15:16,311,Lombard Ave & Garfield St,Lombard Ave & Madison St,Subscriber,Male,1991
1461342,6/25/2017 14:28,6/25/2017 14:51,1363,Wood St & Milwaukee Ave,Lincoln Ave & Belmont Ave,Subscriber,Male,1982
300576,3/5/2017 18:27,3/5/2017 18:35,439,Lincoln Ave & Leavitt St,Clark St & Montrose Ave,Subscriber,Male,1987
904579,5/20/2017 21:55,5/20/2017 22:13,1051,Lake Shore Dr & North Blvd,Halsted St & Willow St,Customer,,
1307622,6/16/2017 15:10,6/16/2017 15:21,633,Columbus Dr & Randolph St,Clinton St & Washington Blvd,Subscriber,Male,1994
1060115,6/1/2017 19:09,6/1/2017 19:26,1040,Lake Shore Dr & Monroe St,Wentworth Ave & Archer Ave,Subscriber,Male,1980
1148280,6/6/2017 20:28,6/6/2017 20:41,767,Michigan Ave & Congress Pkwy,Franklin St & Jackson Blvd,Customer,,
355303,3/17/2017 17:27,3/17/2017 17:29,131,Ravenswood Ave & Irving Park Rd,Ashland Ave & Belle Plaine Ave,Subscriber,Male,1989
1033995,5/31/2017 9:16,5/31/2017 9:35,1176,Fort Dearborn Dr & 31st St,Michigan Ave & Jackson Blvd,Subscriber,Male,1983
256140,2/24/2017 8:38,2/24/2017 8:58,1165,Michigan Ave & 18th St,St. Clair St & Erie St,Subscriber,Male,1979
1091973,6/3/2017 15:59,6/3/2017 16:06,387,Clark St & North Ave,Clark St & Lincoln Ave,Subscriber,Male,1986
188275,2/17/2017 9:05,2/17/2017 9:33,1660,Southport Ave & Wrightwood Ave,Desplaines St & Jackson Blvd,Subscriber,Male,1988
1539746,6/30/2017 11:35,6/30/2017 11:43,474,Greenview Ave & Diversey Pkwy,Lincoln Ave & Fullerton Ave,Subscriber,Male,1992
908578,5/21/2017 12:30,5/21/2017 12:36,385,Canal St & Madison St,Desplaines St & Kinzie St,Subscriber,Male,1991
775032,5/10/2017 5:08,5/10/2017 5:11,160,Wells St & Evergreen Ave,Clark St & Elm St,Subscriber,Male,1987
669200,4/26/2017 6:56,4/26/2017 7:16,1235,Marshfield Ave & Cortland St,LaSalle St & Adams St,Subscriber,Male,1970
1264337,6/13/2017 16:18,6/13/2017 17:19,3637,Dearborn St & Adams St,Lakefront Trail & Bryn Mawr Ave,Subscriber,Female,1962
1249757,6/12/2017 17:24,6/12/2017 17:27,183,Canal St & Madison St,Green St & Madison St,Subscriber,Male,1987
845184,5/15/2017 17:56,5/15/2017 18:07,642,LaSalle St & Jackson Blvd,Dearborn St & Erie St,Subscriber,Female,1986
1390181,6/21/2017 15:55,6/21/2017 16:00,309,LaSalle St & Illinois St,Fairbanks Ct & Grand Ave,Subscriber,Female,1980
822654,5/13/2017 23:53,5/14/2017 0:13,1176,Clark St & Grace St,Ashland Ave & Wrightwood Ave,Customer,,
791452,5/11/2017 18:04,5/11/2017 18:15,645,Kingsbury St & Erie St,Dearborn St & Monroe St,Subscriber,Male,1983
1125373,6/5/2017 15:47,6/5/2017 16:06,1135,Kedzie Ave & Milwaukee Ave,Campbell Ave & North Ave,Subscriber,Male,1993
146116,2/8/2017 20:44,2/8/2017 20:49,262,Sheffield Ave & Kingsbury St,Halsted St & Willow St,Subscriber,Female,1981
455215,4/4/2017 17:45,4/4/2017 17:51,371,Millennium Park,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1992
507031,4/11/2017 8:29,4/11/2017 8:33,267,Southport Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,Subscriber,Male,1992
1521729,6/29/2017 7:46,6/29/2017 7:52,359,Broadway & Barry Ave,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1989
459120,4/6/2017 5:12,4/6/2017 5:22,636,Michigan Ave & 18th St,LaSalle St & Adams St,Subscriber,Male,1964
1304618,6/16/2017 11:50,6/16/2017 11:53,132,Canal St & Monroe St (*),Franklin St & Monroe St,Subscriber,Male,1983
1300796,6/16/2017 5:38,6/16/2017 5:47,521,Broadway & Cornelia Ave,Clark St & Wrightwood Ave,Subscriber,Male,1990
497425,4/9/2017 18:58,4/9/2017 19:27,1759,Cannon Dr & Fullerton Ave,Streeter Dr & Grand Ave,Customer,,
70856,1/22/2017 12:40,1/22/2017 12:58,1078,Clark St & Armitage Ave,LaSalle St & Illinois St,Customer,,
571492,4/17/2017 11:00,4/17/2017 11:04,282,Lake Shore Dr & Belmont Ave,Broadway & Barry Ave,Subscriber,Male,1990
1514573,6/28/2017 17:01,6/28/2017 17:04,214,Ellis Ave & 58th St,Ellis Ave & 55th St,Subscriber,Female,1981
346474,3/15/2017 19:33,3/15/2017 19:37,211,Stave St & Armitage Ave,Humboldt Blvd & Armitage Ave,Subscriber,Male,1976
1008563,5/29/2017 15:43,5/29/2017 16:01,1079,Burnham Harbor,Lake Park Ave & 35th St,Customer,,
1467901,6/25/2017 18:56,6/25/2017 19:10,809,Lake Shore Dr & Wellington Ave,Clarendon Ave & Leland Ave,Subscriber,Male,1987
277607,2/28/2017 17:19,2/28/2017 17:38,1129,Jefferson St & Monroe St,Federal St & Polk St,Subscriber,Male,1984
1376490,6/20/2017 18:10,6/20/2017 18:17,462,Eckhart Park,Damen Ave & Pierce Ave,Subscriber,Male,1981
1149685,6/7/2017 5:36,6/7/2017 5:51,890,Canal St & Adams St,State St & Pearson St,Subscriber,Male,1951
944093,5/24/2017 17:58,5/24/2017 18:01,170,Green St & Madison St,Peoria St & Jackson Blvd,Subscriber,Female,1988
639118,4/23/2017 17:05,4/23/2017 17:12,426,Southport Ave & Wrightwood Ave,Sheffield Ave & Webster Ave,Subscriber,Male,1970
1340700,6/18/2017 15:46,6/18/2017 16:00,811,Michigan Ave & Congress Pkwy,Green St & Randolph St,Subscriber,Female,1977
917037,5/22/2017 8:08,5/22/2017 8:11,215,McClurg Ct & Illinois St,Rush St & Hubbard St,Subscriber,Male,1989
313305,3/7/2017 16:55,3/7/2017 17:08,813,Larrabee St & Kingsbury St,Marshfield Ave & Cortland St,Subscriber,Male,1960
389872,3/24/2017 4:45,3/24/2017 4:56,651,Dayton St & North Ave,Elston Ave & Wabansia Ave,Subscriber,Male,1964
1462548,6/25/2017 15:12,6/25/2017 15:38,1549,Clark St & Wrightwood Ave,Clark St & Winnemac Ave,Subscriber,Female,1977
780373,5/10/2017 15:38,5/10/2017 15:50,700,Larrabee St & Kingsbury St,Michigan Ave & Lake St,Subscriber,Male,1981
1321945,6/17/2017 12:54,6/17/2017 13:03,519,Southport Ave & Wrightwood Ave,Ashland Ave & Wellington Ave,Subscriber,Female,1987
1276026,6/14/2017 9:28,6/14/2017 9:34,389,Wacker Dr & Washington St,State St & Randolph St,Subscriber,Male,1977
653179,4/24/2017 19:38,4/24/2017 19:50,749,Wilton Ave & Diversey Pkwy,Clark St & Armitage Ave,Subscriber,Male,1988
518907,4/12/2017 14:54,4/12/2017 15:26,1898,Sedgwick St & Webster Ave,Albany (Kedzie) Ave & Montrose Ave,Customer,,
689179,4/28/2017 8:25,4/28/2017 8:31,391,Franklin St & Quincy St,State St & Randolph St,Subscriber,Male,1965
631892,4/23/2017 11:18,4/23/2017 11:30,719,Dusable Harbor,Streeter Dr & Grand Ave,Customer,,
407130,3/27/2017 12:20,3/27/2017 12:22,117,Bissell St & Armitage Ave,Sheffield Ave & Webster Ave,Subscriber,Male,1990
809456,5/13/2017 10:16,5/13/2017 10:45,1758,Streeter Dr & Grand Ave,Lake Shore Dr & Monroe St,Customer,,
576949,4/17/2017 17:46,4/17/2017 17:54,466,Green St & Madison St,Racine Ave & Congress Pkwy,Subscriber,Male,1974
1018824,5/30/2017 8:49,5/30/2017 9:00,661,Larrabee St & Kingsbury St,Wabash Ave & Wacker Pl,Subscriber,Male,1985
910201,5/21/2017 13:56,5/21/2017 13:59,177,Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,Subscriber,Male,1990
1079386,6/2/2017 20:27,6/2/2017 20:48,1279,Adler Planetarium,Lake Shore Dr & Ohio St,Customer,,
866396,5/17/2017 7:27,5/17/2017 7:33,356,Canal St & Madison St,Michigan Ave & Washington St,Subscriber,Male,1987
1298093,6/15/2017 19:41,6/15/2017 19:59,1038,Wabash Ave & 16th St,State St & Randolph St,Subscriber,Female,1990
1234362,6/11/2017 17:34,6/11/2017 17:55,1245,Michigan Ave & Oak St,Millennium Park,Customer,,
891380,5/18/2017 18:30,5/18/2017 18:56,1551,Mies van der Rohe Way & Chestnut St,Clark St & Wellington Ave,Subscriber,Male,1965
101973,1/29/2017 16:30,1/29/2017 16:44,814,Ogden Ave & Chicago Ave,Damen Ave & Cortland St,Subscriber,Male,1980
949043,5/25/2017 9:37,5/25/2017 10:14,2218,Ogden Ave & Roosevelt Rd,Milwaukee Ave & Wabansia Ave,Customer,,
45158,1/17/2017 14:34,1/17/2017 14:53,1156,State St & Pearson St,Canal St & Adams St,Subscriber,Male,1951
943769,5/24/2017 17:40,5/24/2017 17:47,382,Sheffield Ave & Waveland Ave,Southport Ave & Waveland Ave,Subscriber,Female,1994
760295,5/8/2017 11:37,5/8/2017 11:44,434,Field Museum,Michigan Ave & Congress Pkwy,Subscriber,Male,1968
516399,4/12/2017 8:59,4/12/2017 9:02,186,Eckhart Park,Noble St & Milwaukee Ave,Subscriber,Male,1980
892719,5/18/2017 19:37,5/18/2017 19:50,808,Wells St & Walton St,Canal St & Adams St,Customer,,
591180,4/18/2017 20:34,4/18/2017 20:37,165,Wells St & Polk St,Federal St & Polk St,Subscriber,Male,1983
1271400,6/13/2017 21:56,6/13/2017 22:11,898,Orleans St & Ohio St,Wood St & Division St,Subscriber,Male,1988
12993,1/5/2017 15:13,1/5/2017 15:37,1446,Paulina Ave & North Ave,Dearborn St & Adams St,Subscriber,Male,1984
397173,3/24/2017 16:38,3/24/2017 16:55,1017,Michigan Ave & Oak St,Sedgwick St & Webster Ave,Customer,,
182594,2/16/2017 9:10,2/16/2017 9:24,815,Ashland Ave & Division St,Desplaines St & Jackson Blvd,Subscriber,Male,1990
1452101,6/24/2017 21:12,6/24/2017 21:24,735,Wells St & Concord Ln,Dearborn St & Erie St,Customer,,
1446291,6/24/2017 16:30,6/24/2017 16:40,598,Ashland Ave & Lake St,Wood St & Division St,Subscriber,Male,1985
253858,2/23/2017 17:01,2/23/2017 17:13,682,Larrabee St & Kingsbury St,Rush St & Cedar St,Subscriber,Female,1987
1265123,6/13/2017 16:48,6/13/2017 16:54,343,Southport Ave & Clybourn Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1995
1332981,6/18/2017 10:01,6/18/2017 10:53,3123,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,Customer,,
1160925,6/7/2017 17:36,6/7/2017 17:51,929,Desplaines St & Kinzie St,Morgan St & 18th St,Subscriber,Male,1983
1026963,5/30/2017 17:59,5/30/2017 18:13,847,Loomis St & Lexington St,Clinton St & Madison St,Subscriber,Male,1972
7076,1/3/2017 17:34,1/3/2017 17:40,356,Dearborn St & Adams St,Canal St & Madison St,Subscriber,Male,1983
955830,5/25/2017 18:15,5/25/2017 18:19,220,Ashland Ave & Grace St,Southport Ave & Roscoe St,Subscriber,Male,1980
1143748,6/6/2017 17:17,6/6/2017 17:23,321,Rush St & Superior St,Clark St & Elm St,Subscriber,Male,1989
1033799,5/31/2017 9:01,5/31/2017 9:13,763,Loomis St & Jackson Blvd,State St & Van Buren St,Subscriber,Female,1977
629551,4/22/2017 21:08,4/22/2017 21:50,2529,Halsted St & Wrightwood Ave,Fairbanks Ct & Grand Ave,Customer,,
1030991,5/31/2017 6:35,5/31/2017 6:46,672,Clinton St & Washington Blvd,St. Clair St & Erie St,Subscriber,Male,1974
480367,4/8/2017 15:31,4/8/2017 16:02,1832,Bissell St & Armitage Ave,Southport Ave & Wellington Ave,Customer,,
541485,4/15/2017 10:24,4/15/2017 11:08,2653,Mies van der Rohe Way & Chestnut St,Millennium Park,Customer,,
682097,4/27/2017 9:07,4/27/2017 9:24,995,Clark St & Armitage Ave,McClurg Ct & Erie St,Subscriber,Male,1988
20666,1/9/2017 8:54,1/9/2017 9:02,505,Franklin St & Quincy St,Clark St & Lake St,Subscriber,Male,1970
256277,2/24/2017 8:52,2/24/2017 9:05,822,Ada St & Washington Blvd,Daley Center Plaza,Subscriber,Female,1976
871481,5/17/2017 14:13,5/17/2017 14:34,1289,Streeter Dr & Grand Ave,Lake Shore Dr & North Blvd,Customer,,
317813,3/8/2017 8:45,3/8/2017 8:52,397,Kingsbury St & Kinzie St,Rush St & Hubbard St,Subscriber,Male,1972
1485396,6/26/2017 19:20,6/26/2017 19:43,1383,Clinton St & Lake St,Sedgwick St & Webster Ave,Subscriber,Female,1993
1360599,6/19/2017 18:47,6/19/2017 19:14,1598,Seeley Ave & Roscoe St,Lake Shore Dr & North Blvd,Subscriber,Male,1988
906636,5/21/2017 10:31,5/21/2017 10:51,1203,Lake Shore Dr & Monroe St,State St & Randolph St,Customer,,
535606,4/14/2017 15:35,4/14/2017 15:40,261,Morgan St & 31st St,Halsted St & 35th St (*),Subscriber,Male,1987
291345,3/3/2017 16:36,3/3/2017 16:40,249,Kingsbury St & Kinzie St,Sedgwick St & Huron St,Subscriber,Male,1980
557950,4/16/2017 8:27,4/16/2017 8:34,419,University Ave & 57th St,Shore Dr & 55th St,Subscriber,Female,1987
1142319,6/6/2017 16:37,6/6/2017 16:50,796,Mies van der Rohe Way & Chestnut St,Wells St & Huron St,Subscriber,Female,1967
1293833,6/15/2017 17:15,6/15/2017 17:28,759,Lake Shore Dr & North Blvd,Lake Shore Dr & Wellington Ave,Subscriber,Male,1956
1222165,6/11/2017 0:41,6/11/2017 0:54,781,Clarendon Ave & Leland Ave,Leavitt St & Lawrence Ave,Subscriber,Male,1981
1329817,6/17/2017 19:37,6/17/2017 19:54,983,Wolcott Ave & Polk St,Jefferson St & Monroe St,Subscriber,Male,1970
786022,5/11/2017 10:35,5/11/2017 10:51,987,Ada St & Washington Blvd,Western Ave & Walton St,Subscriber,Male,1985
539823,4/15/2017 6:45,4/15/2017 6:52,409,Clark St & Berwyn Ave,Clark St & Leland Ave,Subscriber,Male,1976
1511303,6/28/2017 10:50,6/28/2017 10:55,292,Dearborn St & Adams St,Franklin St & Monroe St,Subscriber,Male,1968
680713,4/27/2017 7:02,4/27/2017 7:06,225,Wells St & Elm St,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1979
1345409,6/18/2017 19:19,6/18/2017 19:43,1417,Halsted St & Diversey Pkwy,Morgan St & Lake St,Subscriber,Female,1991
294503,3/4/2017 13:24,3/4/2017 13:28,237,Ashland Ave & Wellington Ave,Ashland Ave & Wrightwood Ave,Subscriber,Male,1986
910009,5/21/2017 13:44,5/21/2017 13:49,293,Clark St & Lake St,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1989
1434874,6/24/2017 8:41,6/24/2017 8:46,296,Clark St & 9th St (AMLI),Wabash Ave & Roosevelt Rd,Subscriber,Male,1971
1198300,6/9/2017 17:54,6/9/2017 18:00,312,Sheffield Ave & Fullerton Ave,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1992
652212,4/24/2017 18:34,4/24/2017 18:50,994,Orleans St & Ohio St,Damen Ave & Division St,Subscriber,Male,1952
924194,5/22/2017 16:43,5/22/2017 17:04,1290,Millennium Park,Theater on the Lake,Subscriber,Male,1990
1448443,6/24/2017 17:44,6/24/2017 17:47,157,Sheffield Ave & Wrightwood Ave,Lincoln Ave & Diversey Pkwy,Subscriber,Female,1962
171706,2/14/2017 13:31,2/14/2017 13:54,1373,Aberdeen St & Monroe St,McClurg Ct & Erie St,Subscriber,Female,1987
122620,2/3/2017 8:49,2/3/2017 8:59,581,Orleans St & Elm St (*),Wabash Ave & Wacker Pl,Subscriber,Male,1991
552682,4/15/2017 17:06,4/15/2017 17:36,1799,Broadway & Cornelia Ave,Clark St & Berwyn Ave,Customer,,
1172209,6/8/2017 12:21,6/8/2017 12:24,190,Southport Ave & Wellington Ave,Racine Ave & Belmont Ave,Subscriber,Female,1990
1154294,6/7/2017 11:12,6/7/2017 11:42,1818,McClurg Ct & Illinois St,Michigan Ave & Oak St,Customer,,
1492414,6/27/2017 10:21,6/27/2017 10:29,444,McClurg Ct & Illinois St,Michigan Ave & Oak St,Subscriber,Female,1970
122070,2/3/2017 7:43,2/3/2017 7:50,376,Clark St & Congress Pkwy,Michigan Ave & Washington St,Subscriber,Male,1988
1353672,6/19/2017 12:18,6/19/2017 12:38,1182,Sedgwick St & Webster Ave,Damen Ave & Pierce Ave,Customer,,
510114,4/11/2017 16:28,4/11/2017 16:33,318,Clark St & Randolph St,Franklin St & Monroe St,Subscriber,Female,1987
430188,3/31/2017 17:22,3/31/2017 17:35,775,LaSalle St & Jackson Blvd,Sangamon St & Washington Blvd (*),Subscriber,Male,1958
671126,4/26/2017 8:34,4/26/2017 8:44,578,Wells St & Huron St,Franklin St & Jackson Blvd,Subscriber,Male,1986
1349200,6/19/2017 7:31,6/19/2017 7:44,794,Clinton St & Washington Blvd,Ashland Ave & Harrison St,Subscriber,Male,1956
1144851,6/6/2017 17:46,6/6/2017 17:56,579,Michigan Ave & 18th St,Michigan Ave & Jackson Blvd,Subscriber,Male,1996
171371,2/14/2017 12:27,2/14/2017 12:55,1712,Clark St & Armitage Ave,Clark St & Grace St,Customer,,
1026292,5/30/2017 17:39,5/30/2017 17:52,784,Halsted St & Roscoe St,Southport Ave & Irving Park Rd,Subscriber,Female,1966
1088213,6/3/2017 13:34,6/3/2017 13:46,749,Clark St & Lincoln Ave,Broadway & Barry Ave,Subscriber,Female,1989
261542,2/25/2017 17:25,2/25/2017 17:32,442,Clark St & Armitage Ave,Bissell St & Armitage Ave,Subscriber,Female,1985
297238,3/5/2017 11:23,3/5/2017 11:36,771,State St & Van Buren St,McClurg Ct & Illinois St,Subscriber,Female,1985
105277,1/30/2017 17:02,1/30/2017 17:25,1342,Orleans St & Merchandise Mart Plaza,Clinton St & Washington Blvd,Subscriber,Male,1959
1449161,6/24/2017 18:13,6/24/2017 18:38,1508,Damen Ave & Pierce Ave,Wells St & Concord Ln,Customer,,
733489,5/5/2017 6:22,5/5/2017 6:26,241,Larrabee St & Armitage Ave,Clark St & Lincoln Ave,Subscriber,Female,1991
491773,4/9/2017 14:22,4/9/2017 15:03,2472,Morgan St & 18th St,McClurg Ct & Illinois St,Customer,,
1393444,6/21/2017 17:37,6/21/2017 17:45,466,Jefferson St & Monroe St,Racine Ave & Randolph St,Subscriber,Male,1983
860017,5/16/2017 17:42,5/16/2017 17:54,707,Leavitt St & Lawrence Ave,Clark St & Winnemac Ave,Customer,,
552153,4/15/2017 16:46,4/15/2017 17:06,1214,Streeter Dr & Grand Ave,Lake Shore Dr & North Blvd,Customer,,
1000938,5/29/2017 10:17,5/29/2017 10:24,449,Wells St & 19th St,Normal Ave & Archer Ave,Subscriber,Male,1969
513653,4/11/2017 21:13,4/11/2017 21:20,436,Stetson Ave & South Water St,Canal St & Madison St,Subscriber,Male,1964
1305154,6/16/2017 12:31,6/16/2017 13:02,1853,Streeter Dr & Grand Ave,Clark St & Armitage Ave,Customer,,
672857,4/26/2017 11:31,4/26/2017 11:37,343,Ravenswood Ave & Lawrence Ave,Clifton Ave & Lawrence Ave,Subscriber,Male,1981
479638,4/8/2017 15:01,4/8/2017 15:18,1011,Michigan Ave & Congress Pkwy,St. Clair St & Erie St,Customer,,
1264161,6/13/2017 16:10,6/13/2017 16:15,314,Canal St & Madison St,Kingsbury St & Kinzie St,Subscriber,Male,1991
775021,5/10/2017 4:44,5/10/2017 4:55,634,Indiana Ave & Roosevelt Rd,Halsted St & Polk St,Subscriber,Male,1991
1234803,6/11/2017 17:55,6/11/2017 18:30,2077,Aberdeen St & Jackson Blvd,Millennium Park,Customer,,
325428,3/9/2017 12:30,3/9/2017 12:35,244,Lake Park Ave & 56th St,Blackstone Ave & Hyde Park Blvd,Subscriber,Male,1966
893699,5/18/2017 21:50,5/18/2017 21:58,461,Kingsbury St & Kinzie St,McClurg Ct & Illinois St,Subscriber,Male,1983
1229039,6/11/2017 13:51,6/11/2017 14:23,1883,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,Customer,,
35420,1/13/2017 14:58,1/13/2017 15:09,673,McClurg Ct & Illinois St,Clark St & Elm St,Subscriber,Male,1990
895542,5/19/2017 8:22,5/19/2017 8:34,752,Halsted St & Maxwell St,Wood St & Taylor St,Subscriber,Male,1983
89157,1/25/2017 20:02,1/25/2017 20:07,341,Clarendon Ave & Leland Ave,Clarendon Ave & Gordon Ter,Subscriber,Female,1995
8104,1/3/2017 21:10,1/3/2017 21:18,498,Lake Shore Dr & Diversey Pkwy,Wilton Ave & Belmont Ave,Subscriber,Male,1969
1335914,6/18/2017 12:31,6/18/2017 12:42,665,Shedd Aquarium,Burnham Harbor,Subscriber,Female,1990
525289,4/13/2017 13:30,4/13/2017 13:39,551,Clark St & Leland Ave,Southport Ave & Waveland Ave,Subscriber,Female,1990
1442097,6/24/2017 14:10,6/24/2017 14:34,1415,Ashland Ave & Chicago Ave,Clark St & North Ave,Subscriber,Female,1982
483479,4/8/2017 18:02,4/8/2017 18:26,1461,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,Customer,,
419376,3/29/2017 9:17,3/29/2017 9:21,265,Drake Ave & Addison St,Monticello Ave & Irving Park Rd,Subscriber,Female,1984
1549398,6/30/2017 19:36,6/30/2017 19:54,1079,Michigan Ave & Congress Pkwy,Dearborn St & Erie St,Subscriber,Female,1989
292785,3/3/2017 19:44,3/3/2017 19:50,351,LaSalle St & Illinois St,McClurg Ct & Illinois St,Subscriber,Male,1981
915158,5/21/2017 22:47,5/21/2017 22:56,549,Ogden Ave & Chicago Ave,Damen Ave & Pierce Ave,Subscriber,Male,1991
1385314,6/21/2017 9:48,6/21/2017 9:59,631,Columbus Dr & Randolph St,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1993
